end_time,run,gain_set,gain_actual,signal,peak_signal,noise,snr,modes,bad,p_bad,messages_valid,max_distance
1701207395.0,15,49.6,49.6,-8.1,-1.0,-17.1,9.0,6579753,4827767,0.734,48986,427868
1701207475.0,15,48.0,48.0,-8.4,-1.0,-17.1,8.7,6055331,4453380,0.735,45834,398179
1701207545.0,15,33.8,33.8,-10.9,-1.0,-21.4,10.5,4660033,3266318,0.701,47783,394256
1701207625.0,15,43.4,43.4,-8.1,-0.9,-17.4,9.3,5299596,3864523,0.729,51057,458000
1701207705.0,15,40.2,40.2,-8.7,-0.8,-18.3,9.6,4713146,3398279,0.721,52378,425098
1701207775.0,15,44.5,44.5,-7.5,-0.7,-16.8,9.3,5174792,3775230,0.73,49614,511733
1701207855.0,15,-10,59.0,-4.5,-0.8,-11.2,6.7,5473384,4053066,0.741,39018,434233
1701207925.0,15,38.6,38.6,-8.3,-1.2,-18.7,10.4,4437607,3165162,0.713,49258,448944
1701208005.0,15,28.0,28.0,-11.8,-1.2,-24.1,12.3,2991424,1989491,0.665,46051,460412
1701208075.0,15,32.8,32.8,-10.0,-1.0,-21.6,11.6,3568606,2458428,0.689,48693,413210
1701208155.0,15,25.4,25.4,-13.6,-2.0,-27.5,13.9,2392829,1550298,0.648,39644,399587
1701208225.0,15,29.7,29.7,-11.6,-1.8,-24.0,12.4,3233586,2184274,0.675,44488,395611
1701208305.0,16,28.0,28.0,-12.5,-1.7,-24.9,12.4,2963949,1951621,0.658,42338,370226
1701208375.0,16,36.4,36.4,-10.3,-1.1,-21.3,11.0,4128497,2879871,0.698,43393,415881
1701208455.0,16,32.8,32.8,-12.7,-1.7,-24.1,11.4,3411796,2319020,0.68,44315,426461
1701208525.0,16,25.4,25.4,-16.1,-3.0,-28.1,12.0,2313455,1460305,0.631,39038,435657
1701208605.0,16,42.1,42.1,-9.1,-1.0,-19.2,10.1,4950550,3569053,0.721,47108,545059
1701208675.0,16,-10,59.0,-4.5,-0.8,-11.5,7.0,5933650,4385473,0.739,43477,470406
